-1221664672 function calls (-1221699469 primitive calls) in 3181.945 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.011    0.011 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.011    0.011 betweenness.py:1(<module>)
       78    0.000    0.000    0.011    0.000 _itertools.py:4(unique_everseen)
        1    0.000    0.000    0.011    0.011 gexf.py:1(<module>)
        1    0.000    0.000    0.011    0.011 platform.py:1(<module>)
        1    0.001    0.001    0.011    0.011 helpers.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _globals.py:1(<module>)
     1435    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap>:124(setdefault)
      666    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1584(_get_spec)
        1    0.000    0.000    0.010    0.010 freetype.py:1(<module>)
     9050    0.010    0.000    0.010    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.010    0.005 __init__.py:337(__getattr__)
     1019    0.005    0.000    0.010    0.000 teacher.py:108(final_state)
       39    0.001    0.000    0.010    0.000 enum.py:515(__new__)
        1    0.000    0.000    0.010    0.010 quiver.py:1(<module>)
       18    0.000    0.000    0.010    0.001 rcsetup.py:827(validate_cycler)
        1    0.010    0.010    0.010    0.010 rrule.py:1(<module>)
        2    0.000    0.000    0.010    0.005 __init__.py:12(__getattr__)
        1    0.000    0.000    0.009    0.009 pathlib.py:1(<module>)
        1    0.000    0.000    0.009    0.009 chordal.py:1(<module>)
        1    0.000    0.000    0.009    0.009 traveling_salesman.py:1(<module>)
        2    0.001    0.000    0.009    0.004 learner.py:638(print_tree)
        1    0.000    0.000    0.009    0.009 _methods.py:1(<module>)
       12    0.000    0.000    0.009    0.001 core.py:1135(parse_string)
        1    0.000    0.000    0.008    0.008 ExifTags.py:1(<module>)
   113/99    0.000    0.000    0.008    0.000 typing.py:487(__getitem__)
      666    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:801(spec_from_file_location)
     1435    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      651    0.004    0.000    0.008    0.000 movement_teacher.py:31(final_state)
        1    0.000    0.000    0.008    0.008 cm.py:1(<module>)
       99    0.001    0.000    0.008    0.000 typing.py:666(Union)
       13    0.000    0.000    0.008    0.001 rcsetup.py:426(validate_font_properties)
       10    0.000    0.000    0.008    0.001 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
       64    0.004    0.000    0.008    0.000 {built-in method builtins.eval}
      118    0.001    0.000    0.008    0.000 learner.py:304(__get_lca)
      265    0.001    0.000    0.008    0.000 typing.py:1216(__init__)
        1    0.000    0.000    0.008    0.008 backend_tools.py:1(<module>)
     6540    0.004    0.000    0.008    0.000 enum.py:709(__call__)
16496/120    0.008    0.000    0.008    0.000 learner.py:627(size)
        1    0.000    0.000    0.008    0.008 units.py:1(<module>)
        1    0.000    0.000    0.008    0.008 common.py:1(<module>)
     1234    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
    35628    0.008    0.000    0.008    0.000 {built-in method _codecs.charmap_encode}
        1    0.000    0.000    0.007    0.007 table.py:1(<module>)
        1    0.000    0.000    0.007    0.007 common.py:8(pyparsing_common)
        3    0.000    0.000    0.007    0.002 patches.py:2283(__init_subclass__)
        6    0.000    0.000    0.007    0.001 patches.py:2325(pprint_styles)
     5726    0.005    0.000    0.007    0.000 teacher.py:375(__get_distance)
   306/12    0.001    0.000    0.007    0.001 core.py:811(_parseNoCache)
    72/12    0.000    0.000    0.007    0.001 core.py:3994(parseImpl)
     7229    0.007    0.000    0.007    0.000 {method 'expandtabs' of 'str' objects}
       62    0.001    0.000    0.007    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.007    0.007 ElementTree.py:1(<module>)
       10    0.000    0.000    0.007    0.001 util.py:251(_inner)
        1    0.000    0.000    0.007    0.007 decimal.py:1(<module>)
      445    0.004    0.000    0.007    0.000 enum.py:249(__set_name__)
        1    0.000    0.000    0.007    0.007 font_manager.py:1567(_load_fontmanager)
        1    0.000    0.000    0.007    0.007 sysfont.py:1(<module>)
        1    0.000    0.000    0.006    0.006 make_alphabet.py:1(<module>)
        3    0.000    0.000    0.006    0.002 version.py:1(<module>)
        1    0.001    0.001    0.006    0.006 make_alphabet.py:38(write_alphabet)
        1    0.000    0.000    0.006    0.006 artist.py:1(<module>)
        1    0.000    0.000    0.006    0.006 legend.py:1(<module>)
      798    0.000    0.000    0.006    0.000 inspect.py:395(isgeneratorfunction)
        1    0.000    0.000    0.006    0.006 _array_like.py:1(<module>)
    19825    0.006    0.000    0.006    0.000 {method 'endswith' of 'str' objects}
    20601    0.006    0.000    0.006    0.000 {built-in method builtins.setattr}
    31653    0.006    0.000    0.006    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.006    0.006 font_manager.py:972(json_load)
     1435    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.006    0.006 bz2.py:1(<module>)
8474/8304    0.006    0.000    0.006    0.000 {method 'update' of 'dict' objects}
       62    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1681(path_hook_for_FileFinder)
       46    0.002    0.000    0.006    0.000 __init__.py:355(namedtuple)
      798    0.001    0.000    0.006    0.000 inspect.py:384(_has_code_flag)
      262    0.001    0.000    0.006    0.000 overrides.py:142(decorator)
        1    0.000    0.000    0.006    0.006 __init__.py:274(load)
        3    0.000    0.000    0.006    0.002 utils.py:1(<module>)
        1    0.000    0.000    0.006    0.006 cm.py:32(_gen_cmap_registry)
      728    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       60    0.000    0.000    0.006    0.000 __init__.py:846(_open_file_or_url)
      111    0.001    0.000    0.005    0.000 rcsetup.py:99(f)
        1    0.000    0.000    0.005    0.005 expat.py:1(<module>)
        1    0.000    0.000    0.005    0.005 numerictypes.py:1(<module>)
     7860    0.004    0.000    0.005    0.000 _parser.py:164(__getitem__)
     1409    0.002    0.000    0.005    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.005    0.005 queue.py:1(<module>)
      313    0.001    0.000    0.005    0.000 function_base.py:502(add_newdoc)
        1    0.000    0.000    0.005    0.005 _secondary_axes.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:1(<module>)
      728    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        1    0.000    0.000    0.005    0.005 lzma.py:1(<module>)
      352    0.002    0.000    0.005    0.000 inspect.py:798(_finddoc)
